Epoch,Densenet-121_Train_Loss,BSC-Densenet-121_Train_Loss,Densenet-121_Val_Loss,BSC-Densenet-121_Val_Loss,Densenet-121_Train_Acc,BSC-Densenet-121_Train_Acc,Densenet-121_Val_Acc,BSC-Densenet-121_Val_Acc
1,3.9674251531239606,3.8535171138296884,3.694060572556087,4.922384245055063,9.5,11.27,16.04,16.29
2,3.3746029375840148,3.2273266898642343,3.12732424054827,3.0385536267643882,18.58,21.33,23.02,25.5
3,2.9659972974150586,2.9022049406449573,2.8109570911952426,2.697585335799626,25.68,27.1,29.05,31.02
4,2.5695581330383996,2.4641318143986397,2.4838284367606756,2.3790986239910126,33.48,35.6,36.11,37.32
5,2.3660056619621295,2.289424464571104,2.304640219325111,2.2434256119387492,37.63,39.39,39.79,40.84
6,2.220104454518508,2.1576898861274443,2.2705626686414084,2.208102420681999,40.72,41.94,41.56,42.1
7,1.960884574220049,1.9071881996927786,2.138956884543101,2.003931149130776,46.51,47.88,45.4,46.88
8,1.850313221236213,1.8055120703699492,2.03709781453723,1.9501853287220001,49.22,50.37,46.77,48.44
9,1.7561364522654948,1.713530802040649,2.0028219648769925,1.96584729211671,51.32,52.57,47.66,47.89
10,1.5704526243735846,1.5297044995877382,1.959461047535851,1.8639704499925887,55.95,56.87,49.59,50.9
11,1.4829478209538998,1.4427200447169426,1.9048004675479162,1.8669615458874476,57.93,58.84,50.16,50.79
12,1.4062514813969746,1.368415301938137,1.9183000425497692,1.8557716139725275,59.77,60.64,50.91,51.53
13,1.274933445224945,1.2511966851689547,1.8717137646107447,1.822849458172208,63.4,64.03,51.18,52.32
14,1.2207836041347586,1.2027832309690882,1.878893222127642,1.8205734562306177,64.66,65.18,51.8,52.42
15,1.1726654838029142,1.1611111638643188,1.8823422278676714,1.8315842137450264,66.11,66.19,51.89,52.71
16,1.1033668842532938,1.1005655251246849,1.8628294382776533,1.8104873626005082,68.26,68.09,52.21,53.0
17,1.0671400029024631,1.0683234880010573,1.8683013419310253,1.8172866304715474,69.07,69.12,52.38,53.21
18,1.0461940676760044,1.052174449538727,1.8700452333404904,1.8094638458320074,69.82,69.5,52.3,53.59
19,1.0134228323575118,1.017295036241591,1.862181239184879,1.8102189572084517,70.71,70.83,52.21,53.57
20,0.9941745181735471,1.0025363247171581,1.8601669867833455,1.8120227299985432,71.33,70.97,52.63,53.22
